name,contributor_zip,total_raised
CAL FOR NC (US SENATE),94960,250
CAL FOR NC (US SENATE),95822,500
CAL FOR NC (US SENATE),98105,400
ERICA FOR US,01201,20
ERICA FOR US,01602,100
ERICA FOR US,02119,12.5
ERICA FOR US,02140,50
ERICA FOR US,02155,20
ERICA FOR US,05408,20
ERICA FOR US,05486,2.5
ERICA FOR US,06106,3500
ERICA FOR US,06811,2.5
ERICA FOR US,07023,250
ERICA FOR US,07649,100
ERICA FOR US,10019,6.25
ERICA FOR US,10023,35
ERICA FOR US,10024,15
ERICA FOR US,10025,25
ERICA FOR US,10027,25
ERICA FOR US,10031,6.25
ERICA FOR US,10035,3.82
ERICA FOR US,10465,3.75
ERICA FOR US,10918,10
ERICA FOR US,11101,22.5
ERICA FOR US,11203,1
ERICA FOR US,11205,100
ERICA FOR US,11206,13
ERICA FOR US,11209,12.5
ERICA FOR US,11211,26.25
ERICA FOR US,11212,10
ERICA FOR US,11213,1.75
ERICA FOR US,11215,5
ERICA FOR US,11221,8.75
ERICA FOR US,11222,2.5
ERICA FOR US,11223,10
ERICA FOR US,11226,47.5
ERICA FOR US,11230,10
ERICA FOR US,11231,1250
ERICA FOR US,11232,5
ERICA FOR US,11233,6.25
ERICA FOR US,11238,22.5
ERICA FOR US,11365,5.5
ERICA FOR US,11372,11.25
ERICA FOR US,11377,1.25
ERICA FOR US,11415,6.25
ERICA FOR US,11937,25
ERICA FOR US,11949,2.5
ERICA FOR US,12047,5
ERICA FOR US,12180,20
ERICA FOR US,12561,25
ERICA FOR US,12827,100
ERICA FOR US,12847,5
ERICA FOR US,13068,2.5
ERICA FOR US,13207,2.5
ERICA FOR US,14425,50
ERICA FOR US,14468,3
ERICA FOR US,14609,20
ERICA FOR US,14886,250
ERICA FOR US,15084,5
ERICA FOR US,15116,10
ERICA FOR US,18032,2800
ERICA FOR US,18042,50
ERICA FOR US,18370,20
ERICA FOR US,19102,2800
ERICA FOR US,19103,100
ERICA FOR US,19123,6.25
ERICA FOR US,19144,25
ERICA FOR US,19146,6.25
ERICA FOR US,19147,5
ERICA FOR US,20008,10
ERICA FOR US,20012,25
ERICA FOR US,20017,10
ERICA FOR US,20020,10
ERICA FOR US,20115,15
ERICA FOR US,20175,20
ERICA FOR US,20176,2000
ERICA FOR US,20707,6.25
ERICA FOR US,20720,100
ERICA FOR US,20723,2.5
ERICA FOR US,20746,20
